Model,Title,Author,Date,Publisher,Repository,Model weights,PDF
DiffuNovo,Regressor-guided Diffusion Model for De Novo Peptide Sequencing with Explicit Mass Control,"Shaorong Chen, Jingbo Zhou, Jun Xia","February 23, 2026",arXiv,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2602.20209v1.pdf
CausalNovo,CausalNovo: Advancing De Novo Peptide Sequencing via a Causality-Informed Framework,"Ye Du, Chen Yang, Yuanliang Zhang, Lequan Yu, Qian Zhao, Shujun Wang","February 14, 2026",OpenReview,https://anonymous.4open.science/r/CausalNovo-C134,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/11920_CausalNovo_Advancing_De_.pdf
OmniNovo,Accurate de novo sequencing of the modified proteome with OmniNovo,"Yuhan Chen, Shang Qu, Zhiqiang Gao, Yuejin Yang, Xiang Zhang, Sheng Xu, Xinjie Mao, Liujia Qian, Jiaqi Wei, Zijie Qiu, Chenyu You, Lei Bai, Ning Ding, Tiannan Guo, Bowen Zhou, Siqi Sun","December 13, 2025",arXiv,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2512.12272v1.pdf
CrossNovo,Bidirectional Representations Augmented Autoregressive Biological Sequence Generation: Applications in De Novo Peptide Sequencing,"Xiang Zhang, Jiaqi Wei, Zijie Qiu, Sheng Xu, Zhi Jin, Zhiqiang Gao, Nanqing Dong, Siqi Sun","October 17, 2025",arXiv,https://github.com/BEAM-Labs/denovo,,
Modanovo,Modanovo: A Unified Model for Post-Translational Modification-Aware de Novo Sequencing Using Experimental Spectra from In Vivo and Synthetic Peptides,"Daniela Klaproth-Andrade, Yanik Bruns, Wassim Gabriel, Christian Nix, Valter Bergant, Andreas Pichlmair, Mathias Wilhelm, Julien Gagneur","September 16, 2025",bioRxiv,https://github.com/gagneurlab/Modanovo,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2025.09.12.675784v1.full.pdf
DIANovo,Advancing Proteomic Analyses with Graph-Based Deep Learning: Protein Inference and DIA De Novo Peptide Sequencing,Zheng Ma,"August 15, 2025",PhD thesis,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/Ma_Zheng.pdf
Casanovo v5,"Improvements to CasaNovo, a deep learning de novvo peptide sequencer","Gwenneth Straub, Varun Ananth, William E. Fondrie, Chris Hsu, Daniela Klaproth-Andrade, Michael Riffle, Justin Sanders, Bo Wen, Lingwen Xu, Melih Yilmaz, Michael J. MacCoss, Sewoong Oh, Wout Bittremieux,William Stafford Noble","July 26, 2025",bioRxiv,,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2025.07.25.666826v1.full.pdf
DiffNovo,DiffNovo: A Transformer-Diffusion Model for De Novo Peptide Sequencing,"Shiva Ebrahimi, Jiancheng LiXuan, GuoXuan Guo","July 24, 2025",Bioinformatics and Computational Biology: 17th International Conference,https://github.com/Biocomputing-Research-Group/DiffNovo,,
RNovA,Zero-Shot De Novo Peptide Sequencing with OpenPost-Translational Modification Discovery,"Zeping Mao, Chao Peng, Yuling Chen, Ping Wu, Qianqiu Zhang, Lei Xin, and 2 more","June 27, 2025",Research Square,https://github.com/AmadeusloveIris/RNovA_SeqFiller_Inference https://github.com/AmadeusloveIris/RNovA_PathSearcher_Inference,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/v1_covered_71fcfe6c-c662-499a-90c0-12573ecb24cb.pdf
XuanjiNovo,MassNet: billion-scale AI-friendly mass spectral corpus enables robust de novo peptide sequencing,"Jun A1, Xiang Zhang, Xiaofan Zhang, Jiaqi Wei, Te Zhang, Yamin Deng, Pu Liu,
Zongxiang Nie, Yi Chen, Nanqing Dong, Zhiqiang Gao, Siqi Sun, Tiannan Guo","June 26, 2025",bioRxiv,https://github.com/guomics-lab/MassNet-DDA,,Deep%20learning%20based%20de%20novo%20sequencing%20papers/2025.06.20.660691v1.full.pdf
